s z slope twi risk ins
54.7369 170.9914 14.1577 9.830787 0.5111035 23.39309
55.22563 231.3415 16.25884 7.616406 0.6118153 23.56909
55.71435 241.4352 15.37041 11.15018 0.4821979 23.4045
56.20307 328.9982 9.430477 8.19697 0.5855787 24.33719
56.69179 400.095 10.81967 8.339505 0.596977 24.42639
57.18052 473.9433 3.469322 7.6324 0.6290226 25.0607
57.66924 345.3573 14.88197 7.830317 0.5713021 23.50878
58.15796 403.9193 20.34464 12.70581 0.4799962 23.19007
58.64668 479.2245 21.98557 8.162027 0.5396029 21.98098
59.1354 404.998 27.22779 7.469474 0.6563281 20.88353
59.62413 463.0149 17.78847 11.58531 0.4987686 23.59513
60.11285 495.7325 23.41569 8.295339 0.5523851 21.90689
60.60157 642.5306 11.82126 7.294335 0.6032747 24.23842
61.09029 592.551 19.52658 8.864342 0.6882566 24.68142
61.57902 528.7193 27.0027 7.215335 0.8186457 23.85166
62.06774 379.1321 24.05414 7.040172 0.7848172 24.23741
62.55646 327.2795 16.17862 7.926719 0.5352315 23.14914
63.04518 391.9387 14.34067 13.09528 0.3725819 23.28398
63.53391 363.112 7.403752 7.949223 0.5894415 24.81298
64.02263 431.1782 17.62004 9.936408 0.5022321 23.27707
64.51135 564.7327 19.02522 7.052636 0.5329048 22.42207
65.00007 526.3696 26.99237 7.638592 0.6303185 20.5693
65.4888 416.4028 25.89022 9.651394 0.5464147 21.6423
65.97752 451.2074 12.12578 7.331985 0.565596 23.98243
66.46624 337.3643 12.36099 7.157421 0.5764954 24.04594
66.95496 246.1475 9.570356 11.81187 0.415671 24.0189
67.44368 306.3891 27.44625 8.177789 0.6095206 20.47165
67.93241 218.0905 14.1035 8.168799 0.5284707 23.61029
68.42113 182.3412 7.329747 10.3421 0.4767685 24.4096
68.90985 159.953 0.9866478 11.09763 0.4797034 24.94201
69.39857 158.3073 1.118977 13.76651 0.4007056 24.92132
69.8873 154.9515 0.8756053 11.53932 0.4672691 24.94822
70.37602 154.7004 0.7437083 14.31422 0.3867349 24.949
70.86474 156.4541 0.6008207 10.31094 0.5033926 24.95817
71.35346 159.3589 1.321886 12.36339 0.440612 24.9142
71.84219 155.7544 1.124476 10.38204 0.4996797 24.93781
72.33091 149.7664 1.055319 11.35966 0.4713668 24.9414
72.81963 142.0481 1.027742 10.79654 0.488638 24.95557
73.30835 140.9851 1.239106 16.18285 0.3300239 24.92707
73.79708 133.1749 0.8136691 11.09957 0.4817136 24.98625
74.2858 131.1181 0.4530981 14.31632 0.3876713 24.9821
74.77452 129.079 1.002729 10.44512 0.4987276 24.96866
75.26324 126.1242 0.4162646 12.23688 0.4487787 25.00043
75.75196 130.2938 0.773667 11.68631 0.460645 24.95388
76.24069 128.5809 0.9636154 10.36792 0.4971009 24.93542
76.72941 128.0014 0.507017 16.31605 0.3263255 24.9643
77.21813 127.509 1.018614 10.35109 0.501796 24.99655
77.70685 124.4687 0.6649286 12.21345 0.4437626 24.95524
78.19558 125.6419 0.5446568 14.75224 0.3701141 24.96178
78.6843 131.9393 1.088961 10.63834 0.4873767 24.93909
79.17302 138.9742 0.8677259 9.993516 0.5053616 24.93926
79.66174 137.8711 0.7320044 11.8489 0.4518471 24.94952
80.15047 135.8435 1.372817 9.900505 0.5042977 24.90201
80.63919 133.2601 1.061179 13.44913 0.4027847 24.92824
81.12791 136.8668 1.236164 10.04604 0.5008726 24.92593
81.61663 139.5759 1.183946 10.62958 0.4825048 24.91679
82.10536 139.2102 0.9706826 11.59853 0.4548935 24.93134
82.59408 139.239 0.9470516 13.11057 0.4112834 24.94252
83.0828 145.7506 1.416802 9.877141 0.501935 24.90713
83.57152 144.0312 1.917606 16.16594 0.3201426 24.9149
84.06024 152.4694 1.267227 9.922063 0.4997472 24.91161
84.54897 152.7766 2.098004 10.68235 0.4723474 24.84324
85.03769 151.7668 1.433417 13.69755 0.3878758 24.89659
85.52641 155.5732 1.46712 11.42025 0.4531565 24.8946
86.01513 160.3694 1.01287 10.25736 0.4885329 24.92869
86.50386 163.4311 1.582817 10.66107 0.4735702 24.89034
86.99258 167.3665 1.693425 11.28415 0.4541278 24.88124
87.4813 166.1772 1.534697 11.06722 0.4601704 24.88817
87.97002 170.253 1.410607 14.62828 0.3580715 24.91296
88.45875 208.2541 11.82316 10.19324 0.4431945 23.7786
88.94747 201.6646 7.914721 12.24082 0.4595642 25.05394
89.43619 254.1009 7.958323 8.434605 0.5858144 25.25562
89.92491 307.9813 6.454974 8.508635 0.5120078 24.4873
90.41364 307.3624 10.23534 8.606528 0.5778077 25.04807
90.90236 344.27 10.16669 8.641239 0.5647679 24.91625
91.39108 456.8478 13.47373 7.610607 0.5016166 23.43755
91.8798 421.3806 13.12339 7.542653 0.5102252 23.56943
92.36852 310.8324 10.2034 8.33551 0.5266881 24.36842
92.85725 327.988 11.50606 8.444582 0.5158597 24.15625
93.34597 422.2791 4.900411 7.697128 0.5587156 24.90611
93.83469 445.053 14.36123 8.211985 0.4828852 23.34852
94.32341 444.0781 28.20394 7.465381 0.6039988 20.97788
94.81214 417.8849 23.39553 13.03427 0.4827994 23.33144
95.30086 492.6134 27.56158 7.333664 0.6063963 20.7298
95.78958 349.5283 9.110665 13.66728 0.3361858 24.08724
96.2783 498.9567 19.74869 7.67616 0.6467483 24.29003
96.76703 574.3008 8.384563 7.846708 0.519354 24.33608
97.25575 555.9572 5.80531 8.691048 0.4931366 24.48626
97.74447 558.1293 5.387158 7.91595 0.5216052 24.58728
98.23319 548.6244 5.669107 11.16498 0.4244779 24.54727
98.72192 558.752 5.715499 9.804016 0.4626641 24.53717
99.21064 569.3836 3.463156 8.439413 0.5095443 24.72398
99.69936 566.2032 3.557056 13.69638 0.3676432 24.8578
100.1881 602.4808 4.158031 8.697865 0.533036 25.09359
100.6768 606.0462 2.510364 9.189772 0.5065077 25.00158
101.1655 598.5002 5.540618 9.268818 0.4976034 24.8223
101.6542 599.4938 4.237497 8.751648 0.4930349 24.64957
102.143 474.8123 2.139722 7.733294 0.5343996 24.8589
102.6317 504.3719 31.93699 8.530997 0.5615259 21.5661
103.1204 504.2712 23.39628 13.87358 0.325305 21.50381
103.6091 638.7092 18.95465 9.410076 0.582211 24.39464
104.0979 670.5878 1.455112 9.351433 0.4877905 24.90543
104.5866 691.9458 4.608737 11.33672 0.4324911 24.8568
105.0753 722.5156 10.68809 9.33072 0.4885582 24.42574
105.564 754.9949 9.343676 8.309932 0.4766729 24.05104
106.0528 771.9819 9.104764 8.317601 0.4774974 24.08973
106.5415 662.4342 24.50444 12.87234 0.4726759 23.05221
107.0302 818.6869 7.111372 7.54949 0.5340978 24.66579
107.5189 808.2151 11.1648 8.282136 0.4722636 23.84882
108.0076 827.4371 13.00103 11.49605 0.3733176 23.58158
108.4964 876.1078 7.966166 10.43104 0.4276349 24.35405
108.9851 931.7635 8.802543 9.687527 0.4577228 24.40189
109.4738 1002.248 6.58885 8.362076 0.4990306 24.59496
109.9625 1081.638 8.052985 7.894791 0.5203934 24.60295
110.4513 1103.963 20.27031 8.461506 0.6334703 24.52595
110.94 798.3805 30.9439 7.297614 0.6709634 22.87871
111.4287 680.834 17.51486 13.58243 0.2902077 22.70008
111.9174 765.8859 33.4049 8.520567 0.5499625 19.80941
112.4061 873.2317 7.269036 8.319864 0.4781368 24.32882
112.8949 890.6202 3.663269 8.960918 0.4757571 24.70514
113.3836 874.4732 7.28036 10.76615 0.422862 24.53229
113.8723 899.0904 7.366777 8.542775 0.5203263 24.93364
114.361 856.1962 13.57532 8.202971 0.5032157 24.02246
114.8498 875.5881 25.91586 8.527867 0.6309963 23.16468
115.3385 973.2784 10.39916 7.978238 0.4700868 23.90555
115.8272 975.2198 6.511373 8.057378 0.4914487 24.49268
116.3159 1014.453 13.02647 7.765853 0.496951 23.88704
116.8046 1054.964 7.630965 8.211815 0.4735116 24.27295
117.2934 1023.324 10.52444 9.157383 0.4769056 24.41738
117.7821 1024.459 28.09716 13.24069 0.4148379 21.9582
118.2708 1064.483 5.746193 7.559979 0.5062375 24.5716
118.7595 1036.178 17.5221 7.076685 0.4732946 22.74951
119.2483 808.5757 33.75166 7.26173 0.5780971 21.79469
119.737 572.2814 26.54753 7.949289 0.5502346 21.62318
120.2257 791.2388 24.99953 7.177938 0.6391832 23.12806
120.7144 975.9133 16.22631 7.241381 0.6238224 24.85797
121.2031 840.6964 10.4183 7.744869 0.474592 23.95491
121.6919 973.2119 17.00085 8.665011 0.4226647 22.80543
122.1806 1033.54 14.39916 8.549391 0.4544673 23.54973
122.6693 1073.439 11.7823 7.586465 0.4680397 23.70008
123.158 987.203 28.69989 10.76907 0.4722842 20.50944
123.6468 1159.763 26.88748 7.807345 0.645854 22.92622
124.1355 1164.784 12.12947 7.50369 0.4789973 23.7839
124.6242 1157.979 18.95256 7.684516 0.4566159 22.56222
125.1129 1065.997 30.32306 7.265496 0.6550419 22.86495
125.6016 763.1924 26.05427 8.208222 0.5913745 22.67149
126.0904 750.0652 29.66944 13.8487 0.3799678 21.2346
126.5791 883.496 15.57958 7.022753 0.4851742 23.30513
