x y z risk twi slope
465.795 4316.35 -120 -0.06 0 0
466.875 4316.35 -120 -0.06 0 0
467.955 4316.35 -120 -0.06 0 0
469.035 4316.35 -120 -0.06 0 0
470.115 4316.35 -120 -0.06 0 0
471.195 4316.35 -120 -0.06 0 0
472.275 4316.35 -120 -0.06 0 0
473.355 4316.35 -120 -0.06 0 0
474.435 4316.35 -120 -0.06 0 0
475.515 4316.35 -120 -0.06 0 0
476.595 4316.35 -120 -0.06 0 0
477.675 4316.35 -120 -0.06 0 0
478.755 4316.35 -120 -0.06 0 0
479.835 4316.35 -120 -0.06 0 0
480.915 4316.35 -120 -0.06 0 0
481.995 4316.35 7.50844 0.535405 9.24527 0.485834
483.075 4316.35 67.7743 0.557982 8.30565 3.12352
484.155 4316.35 277.559 0.531798 7.6724 12.8815
485.235 4316.35 364.881 0.517402 7.66793 13.7314
486.315 4316.35 341.292 0.567227 8.00068 2.02793
487.395 4316.35 377.595 0.440155 11.2605 16.691
488.475 4316.35 368.351 0.492959 8.32823 15.0107
489.555 4316.35 371.719 0.527222 8.48775 2.60246
490.635 4316.35 231.861 0.431402 11.2047 13.4817
491.715 4316.35 213.173 0.492322 9.12347 6.07929
492.795 4316.35 259.218 0.528789 8.31295 8.60247
493.875 4316.35 141.295 0.62867 7.4037 11.7802
494.955 4316.35 77.363 0.545857 8.43243 2.80418
496.035 4316.35 26.0107 0.466028 10.6165 1.31821
497.115 4316.35 12.0912 0.444088 10.8929 2.47315
498.195 4316.35 4.58667 0.331507 15.1456 0.299057
499.275 4316.35 2.99845 0.428009 11.8314 0.325105
500.355 4316.35 3.77354 0.464057 10.4451 0.267594
501.435 4316.35 5.65358 0.463012 10.4451 0.0427326
502.515 4316.35 6.26992 0.461045 10.4451 0.10205
503.595 4316.35 7.47443 0.460654 10.4451 0.204435
504.675 4316.35 10.2485 0.320632 15.1179 0.632166
505.755 4316.35 34.849 0.504154 8.50571 3.68872
506.835 4316.35 72.0166 0.463164 9.95051 4.44161
507.915 4316.35 137.361 0.487379 9.43738 5.14265
508.995 4316.35 342.686 0.527087 9.31588 7.58401
510.075 4316.35 177.376 0.427518 11.395 8.24631
511.155 4316.35 234.477 0.452042 10.0619 4.82561
512.235 4316.35 244.116 0.588347 8.41733 12.3552
513.315 4316.35 134.822 0.523534 8.35113 10.2002
514.395 4316.35 164.561 0.553974 8.57418 10.327
515.475 4316.35 275.129 0.539844 8.57766 5.30694
516.555 4316.35 362.296 0.529693 8.40036 10.2709
517.635 4316.35 227.904 0.397561 14.1795 19.8989
518.715 4316.35 322.375 0.459701 9.24211 7.11191
519.795 4316.35 199.676 0.341576 13.801 21.1174
520.875 4316.35 326.325 0.490706 9.29923 2.87749
521.955 4316.35 268.599 0.483572 13.6913 17.8281
523.035 4316.35 334.068 0.554393 7.90718 10.8326
524.115 4316.35 323.768 0.456251 9.89598 7.91531
525.195 4316.35 415.373 0.511713 7.41197 19.2637
526.275 4316.35 237.894 0.374612 12.7966 9.16195
527.355 4316.35 333.498 0.503428 8.33107 7.37196
528.435 4316.35 317.137 0.566291 7.9587 18.2404
529.515 4316.35 251.963 0.603613 8.6497 14.5606
530.595 4316.35 401.486 0.542069 7.29417 11.1514
531.675 4316.35 639.269 0.507839 7.42632 9.32412
532.755 4316.35 735.588 0.513469 8.35733 3.77955
533.835 4316.35 489.173 0.37678 12.2718 17.913
534.915 4316.35 592.712 0.601249 7.84945 20.2812
535.995 4316.35 686.507 0.522378 8.51755 17.923
537.075 4316.35 731.039 0.501161 8.01089 7.17763
538.155 4316.35 683.89 0.643082 8.41037 20.5679
539.235 4316.35 575.602 0.550969 7.29215 24.9245
540.315 4316.35 383.03 0.355291 13.742 16.7488
541.395 4316.35 549.821 0.590615 7.53624 29.2883
542.475 4316.35 496.989 0.562461 7.40614 10.1346
543.555 4316.35 432.366 0.565794 8.1245 12.078
544.635 4316.35 578.225 0.553028 8.41476 6.56571
545.715 4316.35 547.062 0.538062 8.47892 5.19194
546.795 4316.35 522.346 0.539281 7.76117 11.9856
547.875 4316.35 607.869 0.602855 7.88636 13.6185
548.955 4316.35 394.308 0.527654 8.86141 14.9142
550.035 4316.35 551.348 0.589213 7.39201 15.7542
551.115 4316.35 545.189 0.558961 7.45028 5.7282
552.195 4316.35 244.894 0.4951 9.78833 6.93967
553.275 4316.35 353.175 0.505394 8.70773 6.58212
554.355 4316.35 339.949 0.554189 8.35668 8.72587
555.435 4316.35 347.482 0.521191 9.52458 6.90248
556.515 4316.35 293.122 0.500344 8.99543 3.14088
557.595 4316.35 292.415 0.477366 9.18206 3.41427
558.675 4316.35 249.215 0.516142 8.50096 4.64442
559.755 4316.35 253.04 0.468261 9.85533 3.7009
560.835 4316.35 334.9 0.564646 8.33991 8.4874
561.915 4316.35 284.101 0.491803 9.16527 6.68702
562.995 4316.35 235.443 0.551046 8.11503 5.81064
564.075 4316.35 251.418 0.514207 8.27812 13.8694
565.155 4316.35 202.822 0.544146 8.33872 5.56831
566.235 4316.35 152.611 0.485771 9.30316 4.42344
567.315 4316.35 122.072 0.432223 11.1383 0.110718
568.395 4316.35 120.366 0.452927 10.4451 0.385585
569.475 4316.35 113.986 0.423348 11.5437 0.991741
570.555 4316.35 118.102 0.466665 10.0494 1.19111
571.635 4316.35 125.381 0.455 10.5108 2.20801
572.715 4316.35 141.313 0.488861 9.68878 3.47502
573.795 4316.35 132.155 0.462404 10.2764 2.10263
574.875 4316.35 131.077 0.447982 10.4451 0.437821
575.955 4316.35 182.172 0.525953 8.37021 6.41708
577.035 4316.35 259.961 0.524961 8.74862 9.711
578.115 4316.35 380.014 0.490561 8.75895 10.5518
579.195 4316.35 372.921 0.531391 7.69579 8.34402
580.275 4316.35 449.875 0.523436 8.61597 8.51075
581.355 4316.35 536.71 0.462466 8.76209 6.09223
582.435 4316.35 587.808 0.491851 8.16291 17.896
583.515 4316.35 618.023 0.408314 10.7114 4.96566
584.595 4316.35 701.769 0.431757 9.97504 3.97649
585.675 4316.35 721.979 0.319743 13.7517 4.71607
586.755 4316.35 940.989 0.634377 7.71199 18.0621
587.835 4316.35 1114.99 0.651601 7.15209 24.3674
588.915 4316.35 1134.78 0.529997 6.94698 12.8075
589.995 4316.35 751.112 0.442891 8.1842 11.9654
591.075 4316.35 679.219 0.417545 10.5083 10.626
592.155 4316.35 819.432 0.542234 8.69291 11.0752
593.235 4316.35 787.745 0.52219 7.97997 5.10749
594.315 4316.35 732.638 0.432916 8.04989 16.4337
595.395 4316.35 716.476 0.432049 9.59337 5.08439
596.475 4316.35 796.299 0.460132 8.56918 8.83668
597.555 4316.35 779.912 0.447505 10.1805 1.53726
598.635 4316.35 747.521 0.417725 11.8006 8.50731
599.715 4316.35 812.78 0.574342 7.71656 12.1077
600.795 4316.35 734.741 0.489638 8.48279 6.07482
601.875 4316.35 788.051 0.367719 10.8873 18.4361
602.955 4316.35 942.019 0.431767 9.32289 6.49722
604.035 4316.35 980.96 0.500065 8.78631 5.8844
605.115 4316.35 1059.9 0.460893 9.14257 1.97095

456.075 4315.27 27.2497 0.503458 10.7426 5.71255
457.155 4315.27 133.133 0.659799 8.14722 11.018
458.235 4315.27 56.5273 0.571256 7.94198 18.8005
459.315 4315.27 293.643 0.673348 7.67382 14.4309
460.395 4315.27 2.48541 0.509261 11.3052 1.40285
461.475 4315.27 -120 -0.06 0 0
462.555 4315.27 -120 -0.06 0 0
463.635 4315.27 -120 -0.06 0 0
464.715 4315.27 -120 -0.06 0 0
465.795 4315.27 -120 -0.06 0 0
466.875 4315.27 -120 -0.06 0 0
467.955 4315.27 -120 -0.06 0 0
469.035 4315.27 -120 -0.06 0 0
470.115 4315.27 -120 -0.06 0 0
471.195 4315.27 -120 -0.06 0 0
