fpr_fusion tpr_fusion fpr_beta tpr_beta fpr_gamma tpr_gamma
0.37207031 1 0.37207031 1 0.37207031 1
0.37792969 1 0.37792969 1 0.37792969 1
0.38378906 1 0.38378906 1 0.38378906 1
0.38964844 1 0.38964844 1 0.38964844 1
0.39550781 1 0.39550781 1 0.39550781 1
0.40136719 1 0.40136719 1 0.40136719 1
0.40722656 1 0.40722656 1 0.40722656 1
0.41308594 1 0.41308594 1 0.41308594 1
0.41894531 1 0.41894531 1 0.41894531 1
0.42480469 1 0.42480469 1 0.42480469 1
0.43066406 1 0.43066406 1 0.43066406 1
0.43652344 1 0.43652344 1 0.43652344 1
0.44238281 1 0.44238281 1 0.44238281 1
0.44824219 1 0.44824219 1 0.44824219 1
0.45410156 1 0.45410156 1 0.45410156 1
0.45996094 1 0.45996094 1 0.45996094 1
0.46582031 1 0.46582031 1 0.46582031 1
0.47167969 1 0.47167969 1 0.47167969 1
0.47753906 1 0.47753906 1 0.47753906 1
0.48339844 1 0.48339844 1 0.48339844 1
0.48925781 1 0.48925781 1 0.48925781 1
0.49511719 1 0.49511719 1 0.49511719 1
0.50097656 1 0.50097656 1 0.50097656 1
0.50683594 1 0.50683594 1 0.50683594 1
0.51269531 1 0.51269531 1 0.51269531 1
0.51855469 1 0.51855469 1 0.51855469 1
0.52441406 1 0.52441406 1 0.52441406 1
0.53027344 1 0.53027344 1 0.53027344 1
0.53613281 1 0.53613281 1 0.53613281 1
0.54199219 1 0.54199219 1 0.54199219 1
0.54785156 1 0.54785156 1 0.54785156 1
0.55371094 1 0.55371094 1 0.55371094 1
0.55957031 1 0.55957031 1 0.55957031 1
0.56542969 1 0.56542969 1 0.56542969 1
0.57128906 1 0.57128906 1 0.57128906 1
0.57714844 1 0.57714844 1 0.57714844 1
0.58300781 1 0.58300781 1 0.58300781 1
0.58886719 1 0.58886719 1 0.58886719 1
0.59472656 1 0.59472656 1 0.59472656 1
0.60058594 1 0.60058594 1 0.60058594 1
0.60644531 1 0.60644531 1 0.60644531 1
0.61230469 1 0.61230469 1 0.61230469 1
0.61816406 1 0.61816406 1 0.61816406 1
0.62402344 1 0.62402344 1 0.62402344 1
0.62988281 1 0.62988281 1 0.62988281 1
0.63574219 1 0.63574219 1 0.63574219 1
0.64160156 1 0.64160156 1 0.64160156 1
0.64746094 1 0.64746094 1 0.64746094 1
0.65332031 1 0.65332031 1 0.65332031 1
0.65917969 1 0.65917969 1 0.65917969 1
0.66503906 1 0.66503906 1 0.66503906 1
0.67089844 1 0.67089844 1 0.67089844 1
0.67675781 1 0.67675781 1 0.67675781 1
0.68261719 1 0.68261719 1 0.68261719 1
0.68847656 1 0.68847656 1 0.68847656 1
0.69433594 1 0.69433594 1 0.69433594 1
0.70019531 1 0.70019531 1 0.70019531 1
0.70605469 1 0.70605469 1 0.70605469 1
0.71191406 1 0.71191406 1 0.71191406 1
0.71777344 1 0.71777344 1 0.71777344 1
0.72363281 1 0.72363281 1 0.72363281 1
0.72949219 1 0.72949219 1 0.72949219 1
0.73535156 1 0.73535156 1 0.73535156 1
0.74121094 1 0.74121094 1 0.74121094 1
0.74707031 1 0.74707031 1 0.74707031 1
0.75292969 1 0.75292969 1 0.75292969 1
0.75878906 1 0.75878906 1 0.75878906 1
0.76464844 1 0.76464844 1 0.76464844 1
0.77050781 1 0.77050781 1 0.77050781 1
0.77636719 1 0.77636719 1 0.77636719 1
0.78222656 1 0.78222656 1 0.78222656 1
0.78808594 1 0.78808594 1 0.78808594 1
0.79394531 1 0.79394531 1 0.79394531 1
0.79980469 1 0.79980469 1 0.79980469 1
0.80566406 1 0.80566406 1 0.80566406 1
0.81152344 1 0.81152344 1 0.81152344 1
0.81738281 1 0.81738281 1 0.81738281 1
0.82324219 1 0.82324219 1 0.82324219 1
0.82910156 1 0.82910156 1 0.82910156 1
0.83496094 1 0.83496094 1 0.83496094 1
0.84082031 1 0.84082031 1 0.84082031 1
0.84667969 1 0.84667969 1 0.84667969 1
0.85253906 1 0.85253906 1 0.85253906 1
0.85839844 1 0.85839844 1 0.85839844 1
0.86425781 1 0.86425781 1 0.86425781 1
0.87011719 1 0.87011719 1 0.87011719 1
0.87597656 1 0.87597656 1 0.87597656 1
0.88183594 1 0.88183594 1 0.88183594 1
0.88769531 1 0.88769531 1 0.88769531 1
0.89355469 1 0.89355469 1 0.89355469 1
0.89941406 1 0.89941406 1 0.89941406 1
0.90527344 1 0.90527344 1 0.90527344 1
0.91113281 1 0.91113281 1 0.91113281 1
0.91699219 1 0.91699219 1 0.91699219 1
0.92285156 1 0.92285156 1 0.92285156 1
0.92871094 1 0.92871094 1 0.92871094 1
0.93457031 1 0.93457031 1 0.93457031 1
0.94042969 1 0.94042969 1 0.94042969 1
0.94628906 1 0.94628906 1 0.94628906 1
0.95214844 1 0.95214844 1 0.95214844 1
0.95800781 1 0.95800781 1 0.95800781 1
0.96386719 1 0.96386719 1 0.96386719 1
0.96972656 1 0.96972656 1 0.96972656 1
0.97558594 1 0.97558594 1 0.97558594 1
0.98144531 1 0.98144531 1 0.98144531 1
0.98730469 1 0.98730469 1 0.98730469 1
0.99316406 1 0.99316406 1 0.99316406 1
0.99902344 1 0.99902344 1 0.99902344 1
