z w cum
45.125 8.7375451e-07 0.99999327
45.375 8.4795299e-07 0.99999348
45.625 8.2310013e-07 0.99999369
45.875 7.9915873e-07 0.99999389
46.125 7.7609343e-07 0.99999408
46.375 7.5387066e-07 0.99999427
46.625 7.3245847e-07 0.99999445
46.875 7.1182652e-07 0.99999463
47.125 6.9194591e-07 0.9999948
47.375 6.7278919e-07 0.99999497
47.625 6.5433019e-07 0.99999514
47.875 6.3654404e-07 0.99999529
48.125 6.1940704e-07 0.99999545
48.375 6.0289664e-07 0.9999956
48.625 5.8699134e-07 0.99999575
48.875 5.7167067e-07 0.99999589
49.125 5.5691514e-07 0.99999603
49.375 5.4270617e-07 0.99999617
49.625 5.2902605e-07 0.9999963
49.875 5.158579e-07 0.99999643
50.125 5.0318565e-07 0.99999655
50.375 4.9099397e-07 0.99999667
50.625 4.7926826e-07 0.99999679
50.875 4.679946e-07 0.99999691
51.125 4.5715973e-07 0.99999703
51.375 4.46751e-07 0.99999714
51.625 4.3675639e-07 0.99999725
51.875 4.2716443e-07 0.99999735
52.125 4.1796419e-07 0.99999746
52.375 4.091453e-07 0.99999756
52.625 4.0069786e-07 0.99999766
52.875 3.9261248e-07 0.99999776
53.125 3.8488021e-07 0.99999785
53.375 3.7749256e-07 0.99999795
53.625 3.7044147e-07 0.99999804
53.875 3.637193e-07 0.99999813
54.125 3.573188e-07 0.99999822
54.375 3.512331e-07 0.99999831
54.625 3.4545573e-07 0.9999984
54.875 3.3998054e-07 0.99999848
55.125 3.3480176e-07 0.99999857
55.375 3.2991394e-07 0.99999865
55.625 3.2531199e-07 0.99999873
55.875 3.2099109e-07 0.99999881
56.125 3.1694677e-07 0.99999889
56.375 3.1317486e-07 0.99999897
56.625 3.0967145e-07 0.99999904
56.875 3.0643296e-07 0.99999912
57.125 3.0345606e-07 0.9999992
57.375 3.0073773e-07 0.99999927
57.625 2.9827519e-07 0.99999935
57.875 2.9606594e-07 0.99999942
58.125 2.9410775e-07 0.99999949
58.375 2.9239863e-07 0.99999957
58.625 2.9093685e-07 0.99999964
58.875 2.8972094e-07 0.99999971
59.125 2.8874968e-07 0.99999978
59.375 2.8802208e-07 0.99999986
59.625 2.8753742e-07 0.99999993
59.875 2.8732548e-07 1
