t Tsurf Tprobe theta lnR dTdt dlnR
0.73888889 13.7015 18.54447 0.15051487 7.6853557 -0.24583315 0.00065055787
0.74861111 13.687325 18.530147 0.15051052 7.6857349 -0.24528941 0.00064943156
0.75833333 13.673203 18.515855 0.15050618 7.6861134 -0.24474774 0.00064830722
0.76805556 13.659135 18.501596 0.15050184 7.6864912 -0.24420804 0.00064718473
0.77777778 13.645122 18.487367 0.1504975 7.6868684 -0.24367023 0.00064606395
0.7875 13.631162 18.47317 0.15049317 7.6872449 -0.24313421 0.00064494477
0.79722222 13.617257 18.459004 0.15048884 7.6876208 -0.2425999 0.00064382705
0.80694444 13.603406 18.444869 0.15048451 7.6879961 -0.24206721 0.00064271069
0.81666667 13.58961 18.430765 0.15048019 7.6883706 -0.24153608 0.00064159556
0.82638889 13.575868 18.416692 0.15047588 7.6887446 -0.24100641 0.00064048156
0.83611111 13.56218 18.402649 0.15047156 7.6891178 -0.24047813 0.00063936857
0.84583333 13.548548 18.388638 0.15046726 7.6894905 -0.23995118 0.00063825649
0.85555556 13.53497 18.374657 0.15046295 7.6898625 -0.23942548 0.00063714522
0.86527778 13.521446 18.360706 0.15045865 7.6902338 -0.23890095 0.00063603465
0.875 13.507978 18.346787 0.15045435 7.6906045 -0.23837754 0.0006349247
0.88472222 13.494565 18.332897 0.15045006 7.6909745 -0.23785519 0.00063381527
0.89444444 13.481207 18.319038 0.15044577 7.6913439 -0.23733382 0.00063270626
0.90416667 13.467904 18.30521 0.15044149 7.6917127 -0.23681337 0.00063159758
0.91388889 13.454656 18.291411 0.15043721 7.6920808 -0.2362938 0.00063048916
0.92361111 13.441464 18.277643 0.15043293 7.6924483 -0.23577504 0.0006293809
0.93333333 13.428327 18.263905 0.15042866 7.6928151 -0.23525704 0.00062827273
0.94305556 13.415246 18.250197 0.15042439 7.6931813 -0.23473975 0.00062716456
0.95277778 13.40222 18.23652 0.15042013 7.6935468 -0.23422311 0.00062605631
0.9625 13.38925 18.222872 0.15041587 7.6939117 -0.23370707 0.00062494792
0.97222222 13.376336 18.209255 0.15041161 7.6942759 -0.23319159 0.00062383931
0.98194444 13.363477 18.195667 0.15040736 7.6946395 -0.23267662 0.0006227304
0.99166667 13.350675 18.18211 0.15040311 7.6950024 -0.23216212 0.00062162114
1.0013889 13.337928 18.168582 0.15039886 7.6953647 -0.23164803 0.00062051144
1.0111111 13.325238 18.155085 0.15039462 7.6957263 -0.23113432 0.00061940126
1.0208333 13.312604 18.141617 0.15039038 7.6960873 -0.23062095 0.00061829051
1.0305556 13.300026 18.128179 0.15038615 7.6964477 -0.23010788 0.00061717915
1.0402778 13.287505 18.114771 0.15038192 7.6968074 -0.22959507 0.0006160671
1.05 13.27504 18.101393 0.15037769 7.6971665 -0.22908247 0.00061495432
1.0597222 13.262631 18.088045 0.15037347 7.6975249 -0.22857007 0.00061384075
1.0694444 13.25028 18.074727 0.15036925 7.6978826 -0.22805781 0.00061272632
1.0791667 13.237984 18.061439 0.15036504 7.6982397 -0.22754567 0.00061161099
1.0888889 13.225746 18.04818 0.15036083 7.6985962 -0.22703362 0.00061049471
1.0986111 13.213564 18.034952 0.15035662 7.698952 -0.22652161 0.00060937742
1.1083333 13.20144 18.021753 0.15035242 7.6993071 -0.22600963 0.00060825907
1.1180556 13.189372 18.008584 0.15034822 7.6996616 -0.22549764 0.00060713962
1.1277778 13.177362 17.995445 0.15034402 7.7000155 -0.22498561 0.00060601902
1.1375 13.165408 17.982335 0.15033983 7.7003687 -0.22447351 0.00060489722
1.1472222 13.153512 17.969256 0.15033564 7.7007212 -0.22396132 0.00060377418
1.1569444 13.141673 17.956206 0.15033146 7.7010731 -0.22344901 0.00060264985
1.1666667 13.129892 17.943187 0.15032728 7.7014243 -0.22293655 0.0006015242
1.1763889 13.118168 17.930197 0.1503231 7.7017749 -0.22242392 0.00060039718
1.1861111 13.106501 17.917237 0.15031893 7.7021248 -0.2219111 0.00059926875
1.1958333 13.094892 17.904307 0.15031476 7.7024741 -0.22139806 0.00059813888
1.2055556 13.083341 17.891407 0.15031059 7.7028226 -0.22088477 0.00059700752
1.2152778 13.071848 17.878537 0.15030643 7.7031706 -0.22037123 0.00059587464
1.225 13.060412 17.865696 0.15030227 7.7035179 -0.2198574 0.00059474021
1.2347222 13.049035 17.852886 0.15029811 7.7038645 -0.21934326 0.00059360418
1.2444444 13.037715 17.840106 0.15029396 7.7042104 -0.2188288 0.00059246653
1.2541667 13.026453 17.827356 0.15028982 7.7045557 -0.218314 0.00059132722
1.2638889 13.01525 17.814635 0.15028567 7.7049003 -0.21779883 0.00059018622
1.2736111 13.004105 17.801945 0.15028153 7.7052443 -0.21728328 0.0005890435
1.2833333 12.993018 17.789285 0.15027739 7.7055876 -0.21676732 0.00058789903
1.2930556 12.981989 17.776655 0.15027326 7.7059302 -0.21625096 0.00058675278
1.3027778 12.971019 17.764055 0.15026913 7.7062721 -0.21573415 0.00058560471
1.3125 12.960107 17.751485 0.15026501 7.7066134 -0.2152169 0.00058445481
