name,cells,area_km2,elev_mean,slope_mean,risk_mean,risk_p90,high_km2
Aydın,3614,29.2734,1130.0888671875,22.059356689453125,0.6387584670605424,0.732683857022238,18.2007
İzmir,1093026,8853.5106,323.01287841796875,9.095169067382812,0.5195465737120858,0.6348350138117209,1127.6658
Manisa,581336,4708.8216,311.397705078125,6.305587291717529,0.4851481619807637,0.5810767817346072,185.814
