d fspl veg prx_open prx_forest margin
46.048902 64.48478 12.144068 -38.48478 -50.628848 83.371152
47.126321 64.685665 12.310344 -38.685665 -50.99601 83.00399
48.22895 64.886551 12.478898 -38.886551 -51.365449 82.634551
49.357377 65.087436 12.649759 -39.087436 -51.737195 82.262805
50.512205 65.288321 12.82296 -39.288321 -52.111281 81.888719
51.694054 65.489206 12.998532 -39.489206 -52.487739 81.512261
52.903555 65.690092 13.176508 -39.690092 -52.8666 81.1334
54.141355 65.890977 13.356921 -39.890977 -53.247898 80.752102
55.408116 66.091862 13.539804 -40.091862 -53.631667 80.368333
56.704516 66.292747 13.725192 -40.292747 -54.017939 79.982061
58.031248 66.493633 13.913117 -40.493633 -54.40675 79.59325
59.389022 66.694518 14.103616 -40.694518 -54.798134 79.201866
60.778564 66.895403 14.296723 -40.895403 -55.192126 78.807874
62.200618 67.096289 14.492474 -41.096289 -55.588762 78.411238
63.655944 67.297174 14.690905 -41.297174 -55.988079 78.011921
65.145321 67.498059 14.892053 -41.498059 -56.390112 77.609888
66.669545 67.698944 15.095956 -41.698944 -56.7949 77.2051
68.229432 67.89983 15.30265 -41.89983 -57.202479 76.797521
69.825816 68.100715 15.512174 -42.100715 -57.612889 76.387111
71.459551 68.3016 15.724567 -42.3016 -58.026167 75.973833
73.13151 68.502485 15.939868 -42.502485 -58.442353 75.557647
74.84259 68.703371 16.158117 -42.703371 -58.861487 75.138513
76.593704 68.904256 16.379354 -42.904256 -59.28361 74.71639
78.385789 69.105141 16.60362 -43.105141 -59.708762 74.291238
80.219804 69.306026 16.830957 -43.306026 -60.136984 73.863016
82.09673 69.506912 17.061407 -43.506912 -60.568319 73.431681
84.017571 69.707797 17.295012 -43.707797 -61.002809 72.997191
85.983355 69.908682 17.531816 -43.908682 -61.440498 72.559502
87.995133 70.109567 17.771862 -44.109567 -61.881429 72.118571
90.05398 70.310453 18.015195 -44.310453 -62.325647 71.674353
92.161 70.511338 18.261859 -44.511338 -62.773197 71.226803
94.317317 70.712223 18.511901 -44.712223 -63.224124 70.775876
96.524087 70.913109 18.765366 -44.913109 -63.678474 70.321526
98.782489 71.113994 19.022302 -45.113994 -64.136295 69.863705
101.09373 71.37157 19.282755 -45.314879 -64.654325 69.345675
103.45905 71.692986 19.546775 -45.515764 -65.239761 68.760239
105.87971 72.014403 19.81441 -45.71665 -65.828813 68.171187
108.35701 72.335819 20.085709 -45.917535 -66.421528 67.578472
110.89227 72.657236 20.360723 -46.11842 -67.017959 66.982041
113.48685 72.978652 20.639502 -46.319305 -67.618154 66.381846
116.14214 73.300068 20.922099 -46.520191 -68.222167 65.777833
118.85955 73.621485 21.208565 -46.721076 -68.830049 65.169951
121.64054 73.942901 21.498953 -46.921961 -69.441854 64.558146
124.4866 74.264318 21.793317 -47.122846 -70.057634 63.942366
127.39925 74.585734 22.091711 -47.323732 -70.677445 63.322555
130.38004 74.907151 22.394191 -47.524617 -71.301342 62.698658
133.43058 75.228567 22.700813 -47.725502 -71.92938 62.07062
136.5525 75.549983 23.011633 -47.926388 -72.561616 61.438384
139.74746 75.8714 23.326709 -48.127273 -73.198108 60.801892
143.01717 76.192816 23.646098 -48.328158 -73.838915 60.161085
146.36338 76.514233 23.969861 -48.529043 -74.484094 59.515906
149.78789 76.835649 24.298057 -48.729929 -75.133706 58.866294
153.29252 77.157065 24.630746 -48.930814 -75.787812 58.212188
156.87915 77.478482 24.967991 -49.131699 -76.446473 57.553527
160.5497 77.799898 25.309853 -49.332584 -77.109752 56.890248
164.30613 78.121315 25.656396 -49.53347 -77.777711 56.222289
168.15045 78.442731 26.007684 -49.734355 -78.450415 55.549585
172.08471 78.764148 26.363782 -49.93524 -79.127929 54.872071
176.11103 79.085564 26.724755 -50.136125 -79.810319 54.189681
180.23155 79.40698 27.090671 -50.337011 -80.497651 53.502349
184.44848 79.728397 27.461597 -50.537896 -81.189994 52.810006
188.76407 80.049813 27.837601 -50.738781 -81.887415 52.112585
193.18064 80.37123 28.218754 -50.939667 -82.589984 51.410016
197.70054 80.692646 28.605126 -51.140552 -83.297772 50.702228
202.3262 81.014063 28.996788 -51.341437 -84.010851 49.989149
207.06009 81.335479 29.393813 -51.542322 -84.729292 49.270708
211.90473 81.656895 29.796273 -51.743208 -85.453169 48.546831
216.86273 81.978312 30.204244 -51.944093 -86.182556 47.817444
221.93673 82.299728 30.617801 -52.144978 -86.91753 47.08247
227.12945 82.621145 31.037021 -52.345863 -87.658166 46.341834
232.44366 82.942561 31.46198 -52.546749 -88.404541 45.595459
237.88221 83.263978 31.892758 -52.747634 -89.156736 44.843264
243.44801 83.585394 32.329435 -52.948519 -89.914828 44.085172
249.14404 83.90681 32.77209 -53.149404 -90.6789 43.3211
254.97333 84.228227 33.220806 -53.35029 -91.449033 42.550967
260.93902 84.549643 33.675666 -53.551175 -92.225309 41.774691
267.04428 84.87106 34.136753 -53.75206 -93.007813 40.992187
273.2924 85.192476 34.604154 -53.952945 -93.796631 40.203369
279.6867 85.513893 35.077955 -54.153831 -94.591848 39.408152
286.23061 85.835309 35.558243 -54.354716 -95.393552 38.606448
292.92763 86.156725 36.045107 -54.555601 -96.201833 37.798167
299.78134 86.478142 36.538638 -54.756487 -97.016779 36.983221
306.79542 86.799558 37.038925 -54.957372 -97.838483 36.161517
313.9736 87.120975 37.546063 -55.158257 -98.667038 35.332962
321.31973 87.442391 38.060144 -55.359142 -99.502535 34.497465
328.83774 87.763807 38.581264 -55.560028 -100.34507 33.654928
336.53165 88.085224 39.10952 -55.760913 -101.19474 32.805256
344.40558 88.40664 39.645008 -55.961798 -102.05165 31.948352
352.46374 88.728057 40.187828 -56.162683 -102.91588 31.084115
360.71044 89.049473 40.738081 -56.363569 -103.78755 30.212446
369.15008 89.37089 41.295867 -56.564454 -104.66676 29.333243
377.7872 89.692306 41.861291 -56.765339 -105.5536 28.446403
386.62639 90.013722 42.434457 -56.966224 -106.44818 27.551821
395.6724 90.335139 43.01547 -57.16711 -107.35061 26.649391
404.93007 90.656555 43.291488 -57.367995 -107.94804 26.051956
414.40433 90.977972 43.291488 -57.56888 -108.26946 25.73054
424.10027 91.299388 43.291488 -57.769766 -108.59088 25.409123
434.02307 91.620805 43.291488 -57.970651 -108.91229 25.087707
444.17803 91.942221 43.291488 -58.171536 -109.23371 24.766291
454.5706 92.263637 43.291488 -58.372421 -109.55513 24.444874
465.20632 92.585054 43.291488 -58.573307 -109.87654 24.123458
476.09089 92.90647 43.291488 -58.774192 -110.19796 23.802041
487.23012 93.227887 43.291488 -58.975077 -110.51938 23.480625
498.62999 93.549303 43.291488 -59.175962 -110.84079 23.159208
510.29658 93.87072 43.291488 -59.376848 -111.16221 22.837792
522.23614 94.192136 43.291488 -59.577733 -111.48362 22.516376
534.45505 94.513552 43.291488 -59.778618 -111.80504 22.194959
546.95985 94.834969 43.291488 -59.979503 -112.12646 21.873543
559.75723 95.156385 43.291488 -60.180389 -112.44787 21.552126
572.85403 95.477802 43.291488 -60.381274 -112.76929 21.23071
586.25727 95.799218 43.291488 -60.582159 -113.09071 20.909293
599.9741 96.120635 43.291488 -60.783045 -113.41212 20.587877
614.01187 96.442051 43.291488 -60.98393 -113.73354 20.266461
628.37808 96.763467 43.291488 -61.184815 -114.05496 19.945044
643.08043 97.084884 43.291488 -61.3857 -114.37637 19.623628
658.12677 97.4063 43.291488 -61.586586 -114.69779 19.302211
673.52515 97.727717 43.291488 -61.787471 -115.01921 18.980795
689.28381 98.049133 43.291488 -61.988356 -115.34062 18.659378
705.41119 98.37055 43.291488 -62.189241 -115.66204 18.337962
721.9159 98.691966 43.291488 -62.390127 -115.98345 18.016546
738.80678 99.013382 43.291488 -62.591012 -116.30487 17.695129
756.09285 99.334799 43.291488 -62.791897 -116.62629 17.373713
773.78338 99.656215 43.291488 -62.992782 -116.9477 17.052296
791.88781 99.977632 43.291488 -63.193668 -117.26912 16.73088
810.41584 100.29905 43.291488 -63.394553 -117.59054 16.409464
829.37738 100.62046 43.291488 -63.595438 -117.91195 16.088047
848.78256 100.94188 43.291488 -63.796324 -118.23337 15.766631
868.64178 101.2633 43.291488 -63.997209 -118.55479 15.445214
888.96564 101.58471 43.291488 -64.198094 -118.8762 15.123798
909.76503 101.90613 43.291488 -64.398979 -119.19762 14.802381
931.05107 102.22755 43.291488 -64.599865 -119.51904 14.480965
952.83514 102.54896 43.291488 -64.80075 -119.84045 14.159549
975.1289 102.87038 43.291488 -65.001635 -120.16187 13.838132
997.94428 103.1918 43.291488 -65.20252 -120.48328 13.516716
1021.2935 103.51321 43.291488 -65.403406 -120.8047 13.195299
1045.189 103.83463 43.291488 -65.604291 -121.12612 12.873883
1069.6436 104.15605 43.291488 -65.805176 -121.44753 12.552466
1094.6703 104.47746 43.291488 -66.006061 -121.76895 12.23105
1120.2826 104.79888 43.291488 -66.206947 -122.09037 11.909634
1146.4942 105.12029 43.291488 -66.407832 -122.41178 11.588217
1173.3191 105.44171 43.291488 -66.608717 -122.7332 11.266801
1200.7716 105.76313 43.291488 -66.809602 -123.05462 10.945384
1228.8664 106.08454 43.291488 -67.010488 -123.37603 10.623968
1257.6185 106.40596 43.291488 -67.211373 -123.69745 10.302551
1287.0434 106.72738 43.291488 -67.412258 -124.01886 9.981135
1317.1567 107.04879 43.291488 -67.613144 -124.34028 9.6597186
1347.9746 107.37021 43.291488 -67.814029 -124.6617 9.3383022
1379.5136 107.69163 43.291488 -68.014914 -124.98311 9.0168858
1411.7905 108.01304 43.291488 -68.215799 -125.30453 8.6954693
1444.8225 108.33446 43.291488 -68.416685 -125.62595 8.3740529
1478.6275 108.65588 43.291488 -68.61757 -125.94736 8.0526365
1513.2233 108.97729 43.291488 -68.818455 -126.26878 7.7312201
1548.6287 109.29871 43.291488 -69.01934 -126.5902 7.4098036
1584.8624 109.62012 43.291488 -69.220226 -126.91161 7.0883872
1621.9439 109.94154 43.291488 -69.421111 -127.23303 6.7669708
1659.893 110.26296 43.291488 -69.621996 -127.55445 6.4455544
1698.73 110.58437 43.291488 -69.822881 -127.87586 6.1241379
1738.4756 110.90579 43.291488 -70.023767 -128.19728 5.8027215
1779.1513 111.22721 43.291488 -70.224652 -128.51869 5.4813051
1820.7786 111.54862 43.291488 -70.425537 -128.84011 5.1598887
1863.3799 111.87004 43.291488 -70.626423 -129.16153 4.8384722
1906.9779 112.19146 43.291488 -70.827308 -129.48294 4.5170558
1951.596 112.51287 43.291488 -71.028193 -129.80436 4.1956394
1997.2581 112.83429 43.291488 -71.229078 -130.12578 3.874223
2043.9885 113.15571 43.291488 -71.429964 -130.44719 3.5528065
2091.8123 113.47712 43.291488 -71.630849 -130.76861 3.2313901
2140.7551 113.79854 43.291488 -71.831734 -131.09003 2.9099737
2190.8429 114.11995 43.291488 -72.032619 -131.41144 2.5885573
2242.1027 114.44137 43.291488 -72.233505 -131.73286 2.2671408
2294.5619 114.76279 43.291488 -72.43439 -132.05428 1.9457244
2348.2484 115.0842 43.291488 -72.635275 -132.37569 1.624308
2403.191 115.40562 43.291488 -72.83616 -132.69711 1.3028916
2459.4192 115.72704 43.291488 -73.037046 -133.01852 0.98147514
2516.963 116.04845 43.291488 -73.237931 -133.33994 0.66005871
2575.8531 116.36987 43.291488 -73.438816 -133.66136 0.33864229
2636.1211 116.69129 43.291488 -73.639702 -133.98277 0.017225862
2697.7991 117.0127 43.291488 -73.840587 -134.30419 -0.30419056
2760.9203 117.33412 43.291488 -74.041472 -134.62561 -0.62560699
2825.5184 117.65553 43.291488 -74.242357 -134.94702 -0.94702341
2891.6279 117.97695 43.291488 -74.443243 -135.26844 -1.2684398
2959.2841 118.29837 43.291488 -74.644128 -135.58986 -1.5898563
3028.5234 118.61978 43.291488 -74.845013 -135.91127 -1.9112727
3099.3826 118.9412 43.291488 -75.045898 -136.23269 -2.2326891
3171.8998 119.26262 43.291488 -75.246784 -136.55411 -2.5541055
3246.1136 119.58403 43.291488 -75.447669 -136.87552 -2.875522
3322.0639 119.90545 43.291488 -75.648554 -137.19694 -3.1969384
3399.7912 120.22687 43.291488 -75.849439 -137.51835 -3.5183548
3479.3371 120.54828 43.291488 -76.050325 -137.83977 -3.8397712
3560.7442 120.8697 43.291488 -76.25121 -138.16119 -4.1611877
3644.0559 121.19112 43.291488 -76.452095 -138.4826 -4.4826041
3729.317 121.51253 43.291488 -76.65298 -138.80402 -4.8040205
3816.5729 121.83395 43.291488 -76.853866 -139.12544 -5.1254369
3905.8704 122.15536 43.291488 -77.054751 -139.44685 -5.4468534
3997.2572 122.47678 43.291488 -77.255636 -139.76827 -5.7682698
4090.7821 122.7982 43.291488 -77.456522 -140.08969 -6.0896862
4186.4954 123.11961 43.291488 -77.657407 -140.4111 -6.4111026
4284.448 123.44103 43.291488 -77.858292 -140.73252 -6.7325191
4384.6925 123.76245 43.291488 -78.059177 -141.05394 -7.0539355
4487.2824 124.08386 43.291488 -78.260063 -141.37535 -7.3753519
4592.2727 124.40528 43.291488 -78.460948 -141.69677 -7.6967683
4699.7194 124.7267 43.291488 -78.661833 -142.01818 -8.0181848
4809.6801 125.04811 43.291488 -78.862718 -142.3396 -8.3396012
4922.2136 125.36953 43.291488 -79.063604 -142.66102 -8.6610176
5037.3801 125.69095 43.291488 -79.264489 -142.98243 -8.982434
5155.2411 126.01236 43.291488 -79.465374 -143.30385 -9.3038505
5275.8598 126.33378 43.291488 -79.666259 -143.62527 -9.6252669
5399.3007 126.65519 43.291488 -79.867145 -143.94668 -9.9466833
5525.6297 126.97661 43.291488 -80.06803 -144.2681 -10.2681
5654.9144 127.29803 43.291488 -80.268915 -144.58952 -10.589516
5787.2241 127.61944 43.291488 -80.469801 -144.91093 -10.910933
5922.6295 127.94086 43.291488 -80.670686 -145.23235 -11.232349
6061.203 128.26228 43.291488 -80.871571 -145.55377 -11.553765
6203.0187 128.58369 43.291488 -81.072456 -145.87518 -11.875182
6348.1525 128.90511 43.291488 -81.273342 -146.1966 -12.196598
6496.6821 129.22653 43.291488 -81.474227 -146.51801 -12.518015
6648.6869 129.54794 43.291488 -81.675112 -146.83943 -12.839431
6804.2482 129.86936 43.291488 -81.875997 -147.16085 -13.160848
6963.4491 130.19078 43.291488 -82.076883 -147.48226 -13.482264
7126.375 130.51219 43.291488 -82.277768 -147.80368 -13.80368
7293.1129 130.83361 43.291488 -82.478653 -148.1251 -14.125097
7463.7519 131.15502 43.291488 -82.679538 -148.44651 -14.446513
7638.3835 131.47644 43.291488 -82.880424 -148.76793 -14.76793
7817.101 131.79786 43.291488 -83.081309 -149.08935 -15.089346
8000 132.11927 43.291488 -83.282194 -149.41076 -15.410763
