x y
584.36991 4205.92500
593.13620 4208.37376
605.38500 4208.66923

509.70555 4205.92500
509.44571 4206.56837
508.94489 4207.22695
508.05878 4207.51496
507.35155 4207.54590
506.66564 4207.70784
506.15822 4208.03701
505.95780 4208.60571
505.67805 4210.32109
504.90647 4210.88944
502.37147 4211.29463
497.84506 4213.05530
495.54655 4213.29100
492.78350 4212.74218
491.23368 4212.12067
490.64818 4212.05812
490.21936 4211.68841
489.96133 4210.88060
489.60329 4210.08194
488.86010 4209.71723
488.14679 4210.30063
486.14689 4214.26770
486.62028 4215.67551
486.53733 4217.30095
486.11204 4218.94504
485.55820 4220.39524
484.66954 4221.91383
482.74118 4223.85455
481.92376 4224.94891
480.38217 4224.17142
479.98630 4225.53135
480.18676 4228.80863
479.01395 4229.89063
477.64583 4229.77238
476.12666 4229.18075
474.45838 4228.82465
468.98636 4228.81212
468.12289 4228.46782
466.95358 4221.27578
466.54122 4221.58448
466.49880 4221.67495
466.30748 4221.96921
465.75839 4221.97150
466.00852 4220.39476
466.00254 4218.96358
465.55577 4217.90447
464.49062 4217.42596
463.93620 4217.90246
462.91409 4220.62500
462.11449 4221.98767
462.06084 4219.65824
461.16120 4219.47737
459.97446 4220.39513
458.27231 4222.27738
457.71376 4223.19680
457.55560 4224.31281
457.89869 4225.85965
456.07500 4225.39638

456.07500 4251.11282
456.16130 4251.12604
457.49791 4253.96342
456.26607 4254.71502
456.07500 4254.89197

456.07500 4279.10587
456.98264 4278.34844
459.91939 4275.11827
461.32640 4273.08398
461.75047 4271.37518
463.75576 4268.13746
465.94166 4265.28782
466.70459 4264.53961
467.29153 4264.09471
467.77859 4263.49222
468.25609 4262.24866
468.42867 4261.02438
468.38180 4259.93642
468.42735 4258.88421
468.88444 4257.77172
468.30752 4257.29988
467.99445 4257.12955
467.64610 4257.01807
466.96711 4257.65746
466.05211 4257.85994
465.04303 4257.63851
464.06767 4257.03327
465.55531 4256.24113
465.52971 4255.23888
464.77131 4253.95537
464.04674 4252.35120
466.11292 4252.07133
467.00312 4250.85759
467.53632 4249.16228
468.52458 4247.43813
470.02693 4242.35303
471.41971 4239.95053
473.30028 4240.60779
473.77437 4242.00136
473.22271 4242.96035
471.81801 4243.98551
471.23710 4248.60190
471.70578 4250.50558
472.70004 4252.43459
474.02513 4253.58605
475.47988 4253.12998
475.48219 4253.88850
476.02910 4253.88685
477.01321 4252.77329
478.01642 4250.74776
479.63221 4246.23755
480.03801 4246.46229
481.04127 4246.82106
481.42571 4247.05946
482.09786 4245.62670
483.38511 4245.78197
484.94367 4246.57805
486.50137 4247.04937
493.41166 4247.72251
497.71268 4249.77445
499.10556 4250.07216
499.51773 4250.28433
500.65459 4251.27763
501.16611 4251.58471
502.06132 4251.53974
502.87849 4251.19685
503.70986 4251.04368
504.74690 4251.58602
504.87506 4251.14363
505.34370 4251.58640
507.73910 4250.45057
509.76266 4251.75760
511.81980 4253.94110
514.33159 4255.38095
514.33024 4256.13947
513.47703 4256.80170
513.10085 4256.72433
512.48404 4256.13639
511.88636 4256.96173
510.20463 4256.18736
507.27176 4256.49570
506.51941 4256.12934
504.28210 4257.21144
501.94629 4257.12927
496.47840 4254.85424
494.64554 4253.99740
494.36149 4254.06984
495.20747 4255.36961
493.70989 4256.41812
491.07327 4260.70989
