S nodes capex p0p5 a0p5 t0p5 p1 a1 t1 p3 a3 t3 p10 a10 t10 p30 a30 t30
63.193277 2.8916142 14197.074 0.0015329207 0.38893834 29.321366 0.0054035591 0.36414614 28.371459 0.040903257 0.27850838 24.812067 0.38646466 0.079012576 13.215753 1 0 0
64.747899 2.7544237 13523.504 0.0014601924 0.40903453 30.069334 0.0051471912 0.38359948 29.119427 0.038962632 0.29555292 25.560035 0.36812913 0.088209367 13.963721 1 0 0
66.302521 2.6267699 12896.757 0.0013925197 0.4296369 30.817301 0.0049086445 0.40355901 29.867395 0.037156908 0.31310365 26.308003 0.35106817 0.097912341 14.711689 1 0 0
67.857143 2.5077889 12312.591 0.0013294448 0.45074546 31.565269 0.0046863047 0.42402472 30.615362 0.035473865 0.33116056 27.055971 0.33516635 0.1081215 15.459657 1 0 0
69.411765 2.3967125 11767.235 0.0012705602 0.4723602 32.313237 0.0044787363 0.44499661 31.36333 0.033902637 0.34972365 27.803939 0.32032097 0.11883684 16.207625 1 0 0
70.966387 2.2928557 11257.325 0.001215503 0.49448112 33.061205 0.0042846591 0.46647469 32.111298 0.032433533 0.36879293 28.551906 0.3064405 0.13005837 16.955592 1 0 0
72.521008 2.1956062 10779.855 0.0011639485 0.51710823 33.809173 0.0041029289 0.48845895 32.859266 0.031057892 0.38836839 29.299874 0.29344308 0.14178608 17.70356 1 0 0
74.07563 2.104415 10332.131 0.0011156057 0.54024152 34.55714 0.0039325201 0.5109494 33.607234 0.029767951 0.40845003 30.047842 0.28125538 0.15401997 18.451528 1 0 0
75.630252 2.0187894 9911.731 0.0010702133 0.56388099 35.305108 0.0037725114 0.53394603 34.355201 0.028556735 0.42903786 30.79581 0.2698115 0.16676005 19.199496 1 0 0
77.184874 1.9382853 9516.477 0.001027536 0.58802665 36.053076 0.0036220735 0.55744884 35.103169 0.027417967 0.45013187 31.543777 0.25905212 0.18000631 19.947463 1 0 0
78.739496 1.8625024 9144.4027 0.00098736147 0.61267849 36.801044 0.003480458 0.58145784 35.851137 0.026345982 0.47173207 32.291745 0.24892372 0.19375875 20.695431 1 0 0
80.294118 1.7910786 8793.7303 0.00094949783 0.63783652 37.549011 0.0033469884 0.60597302 36.599105 0.025335658 0.49383845 33.039713 0.23937792 0.20801738 21.443399 1 0 0
81.848739 1.7236859 8462.8494 0.00091377116 0.66350073 38.296979 0.0032210515 0.63099439 37.347073 0.024382355 0.51645101 33.787681 0.23037087 0.22278219 22.191367 1 0 0
