beta_neg beta_pos gamma_neg gamma_pos
0.22212532 2.8621867 0.00042214773 0.0045991145
0.2246538 3.1043332 0.00045404227 0.0059910148
0.22529701 3.1875004 0.00048607936 0.0061504092
0.22730472 3.3647932 0.00048933302 0.0063026856
0.22856001 3.4682094 0.00049188649 0.0064075324
0.22948808 3.5471284 0.00050684972 0.0064139281
0.22968707 3.6345977 0.00050728563 0.0065906286
0.23047915 3.6381534 0.00050759625 0.0065916835
0.23054761 3.6480213 0.00051088905 0.0067685399
0.23062463 3.6514417 0.00051210731 0.0068212552
0.23239627 3.6543147 0.00051383594 0.0068532166
0.23247572 3.6759671 0.00051677156 0.0068735131
0.23313006 3.713017 0.00052031229 0.0070094295
0.23382461 3.7331524 0.00052658527 0.0070501993
0.23540147 3.7405415 0.00052804272 0.0071006712
0.23598208 3.7615895 0.00052821407 0.0071904588
0.23660787 3.8935138 0.00052858996 0.0072403582
0.23684481 3.9766752 0.00053596259 0.0072811909
0.23748635 4.0690494 0.00053828336 0.0072960071
0.23829586 4.1108098 0.00053990273 0.0073130733
0.2384835 4.1799344 0.00054000542 0.0073183827
0.23999592 4.2427287 0.00054178796 0.0073746645
0.24045653 4.282718 0.00054743653 0.007488853
0.24088445 4.3654008 0.00054748909 0.0075707159
0.24144983 4.3986227 0.0005493899 0.0077062097
0.24192528 4.4569851 0.00055002371 0.0077635135
0.2422922 4.4787664 0.00055104942 0.007992668
0.24271428 4.5052984 0.00055234023 0.0081537985
0.24280373 4.6077613 0.00055278846 0.0081639503
0.24302504 4.6717237 0.00055442787 0.0082373803
0.24354473 4.7143529 0.00055705202 0.0082515782
0.24361419 4.7534124 0.00055706359 0.0085192887
0.24451469 4.7544083 0.00056046719 0.0085863301
0.24476962 4.7555397 0.0005614286 0.008675029
0.24609474 4.7958957 0.00056279839 0.0090447238
0.24652983 4.8212069 0.00056295306 0.0090866889
0.24699398 4.8464519 0.00056334599 0.0091510342
0.2471589 4.8590364 0.00056541742 0.0091696943
