x y
476.66424 4316.81112
479.15926 4316.80413
481.65428 4316.79793
484.14930 4316.79252
486.64432 4316.78790
489.13934 4316.78406
491.63436 4316.78102
494.12937 4316.77877
496.62439 4316.77731
499.11941 4316.77663
501.61442 4316.77675
504.10944 4316.77765
506.60446 4316.77935
509.09947 4316.78183
511.59449 4316.78511
514.08951 4316.78917
516.58453 4316.79403
519.07955 4316.79967
521.57457 4316.80610
524.06959 4316.81333
526.56462 4316.82134
529.05964 4316.83014
531.55467 4316.83973
534.04969 4316.85011
536.54472 4316.86129
539.03976 4316.87325
541.53479 4316.88600
544.02983 4316.89954
546.52487 4316.91387
549.01991 4316.92899
551.51495 4316.94490
554.01000 4316.96159
556.50505 4316.97908
559.00010 4316.99736
561.49515 4317.01643
563.99021 4317.03629
566.48527 4317.05694
568.98034 4317.07837
571.47541 4317.10060
573.97048 4317.12362
576.46556 4317.14743
578.96064 4317.17202
581.45572 4317.19741
583.95081 4317.22359
586.44591 4317.25055
588.94101 4317.27831
591.43611 4317.30686
593.93122 4317.33619
596.42633 4317.36632
598.92145 4317.39724
601.41657 4317.42894
601.88156 4317.43500

