x y
456.07500 4313.93525
458.52484 4314.54958
460.77839 4315.52697
460.57159 4316.45820
460.48766 4316.58506
460.56509 4316.56661
460.78593 4317.04416
460.78788 4317.43500

483.20575 4317.43500
482.60887 4316.61360
482.43351 4313.81442
483.23174 4311.26147
484.85151 4310.14289
486.14135 4309.67092
487.48530 4307.63676
488.40178 4307.17479
489.52401 4307.48478
492.49589 4309.22885
493.46298 4310.13107
494.30153 4309.10995
494.94348 4309.21788
495.66326 4309.78639
496.74253 4310.12904
497.18673 4309.77667
498.05388 4308.20506
498.49119 4307.85728
500.10674 4307.88423
501.11554 4308.12814
502.08890 4308.80564
503.57669 4310.12918
505.00913 4308.98305
505.01698 4307.73681
503.57912 4304.75590
505.43563 4304.22415
504.77323 4302.47177
502.90992 4301.29688
501.15870 4302.47945
500.33982 4301.55824
499.21007 4300.69133
497.86118 4299.97816
496.42036 4299.51812
497.52119 4296.70919
496.59509 4295.26464
495.12553 4295.55439
494.59015 4297.93881
491.07781 4296.42484
491.70580 4295.67011
493.44846 4292.55746
494.04284 4293.39231
494.25405 4292.24979
494.35941 4291.30603
494.30225 4290.46624
494.04000 4289.59950
493.31234 4290.38573
492.64042 4290.14250
491.92558 4289.44333
491.06929 4288.84824
491.61222 4287.32601
490.31069 4287.26879
489.09464 4287.65868
487.10157 4288.56471
486.25296 4288.58419
485.27731 4288.74397
485.13609 4288.85711
485.00920 4289.06957
484.68466 4289.46301
484.20419 4289.65359
481.65451 4287.88005
477.18893 4286.93437
475.57989 4285.84644
476.16102 4283.82185
476.79366 4282.37059
478.52778 4279.77851
477.59321 4279.77205
476.82775 4279.48526
476.16776 4278.97247
475.55667 4278.26995
477.11130 4277.13654
477.93166 4276.70980
479.06480 4276.67966
478.90054 4276.16536
478.68473 4274.91975
478.51332 4274.40548
479.71094 4274.52877
480.78744 4274.38162
482.67759 4273.70906
482.42155 4273.26714
482.02926 4272.12116
483.77971 4272.14451
484.76626 4272.93723
485.56765 4273.31502
486.84108 4272.11180
486.46324 4270.78498
486.00484 4268.04961
485.64090 4266.74539
487.03680 4266.06575
488.24124 4265.24666
489.34634 4264.22471
490.39467 4262.95014
490.39376 4262.19161
489.03136 4262.13015
486.66392 4263.60113
485.11958 4264.78228
483.85248 4266.05799
484.91281 4264.21377
486.86105 4262.67973
487.72580 4262.13204
489.88903 4261.43370
491.07327 4260.70989
493.70989 4256.41812
495.20747 4255.36961
494.36149 4254.06984
494.64554 4253.99740
496.47840 4254.85424
501.94629 4257.12927
504.28210 4257.21144
506.51941 4256.12934
507.27176 4256.49570
510.20463 4256.18736
511.88636 4256.96173
