z T3p0 th3p0 T3p5 th3p5 T4p0 th4p0 T4p5 th4p5 T5p0 th5p0 T6p0 th6p0
48.875 22.399552 0.20676441 22.387808 0.20657793 22.369692 0.20639164 22.345535 0.20620556 22.316089 0.20601971 22.274232 0.20565101
49.125 22.390848 0.20688159 22.37976 0.20669545 22.362431 0.20650949 22.339178 0.20632373 22.310699 0.20613821 22.268553 0.20576997
49.375 22.382112 0.206997 22.371654 0.20681118 22.355086 0.20662556 22.332712 0.20644013 22.305183 0.20625493 22.262898 0.20588715
49.625 22.373346 0.20711061 22.363492 0.20692513 22.34766 0.20673983 22.326142 0.20655472 22.299545 0.20636984 22.257259 0.20600254
49.875 22.364552 0.20722242 22.355276 0.20703726 22.340157 0.20685228 22.319472 0.2066675 22.293789 0.20648294 22.251628 0.20611611
50.125 22.355732 0.20733239 22.34701 0.20714755 22.332579 0.2069629 22.312705 0.20677843 22.287918 0.20659419 22.245999 0.20622785
50.375 22.346888 0.2074405 22.338696 0.20725598 22.324931 0.20707165 22.305844 0.20688751 22.281936 0.20670358 22.240364 0.20633772
50.625 22.338023 0.20754674 22.330336 0.20736254 22.317214 0.20717853 22.298895 0.2069947 22.275847 0.20681108 22.234719 0.20644572
50.875 22.329137 0.20765107 22.321934 0.20746719 22.309431 0.20728349 22.291859 0.20709998 22.269655 0.20691666 22.229058 0.2065518
51.125 22.320233 0.20775348 22.31349 0.20756991 22.301587 0.20738653 22.28474 0.20720332 22.263362 0.20702031 22.223377 0.20665594
51.375 22.311312 0.20785393 22.305009 0.20767068 22.293683 0.20748761 22.277542 0.20730471 22.256973 0.207122 22.217671 0.20675812
51.625 22.302376 0.2079524 22.29649 0.20776946 22.285721 0.2075867 22.270267 0.2074041 22.25049 0.20722169 22.211938 0.20685831
51.875 22.293426 0.20804887 22.287937 0.20786623 22.277705 0.20768377 22.262918 0.20750148 22.243918 0.20731936 22.206174 0.20695647
52.125 22.284463 0.20814329 22.279352 0.20796096 22.269638 0.2077788 22.2555 0.2075968 22.237259 0.20741497 22.200376 0.20705258
52.375 22.27549 0.20823565 22.270736 0.20805362 22.26152 0.20787175 22.248013 0.20769005 22.230517 0.20750851 22.194543 0.20714659
52.625 22.266506 0.2083259 22.26209 0.20814417 22.253356 0.2079626 22.240463 0.20778118 22.223695 0.20759992 22.188674 0.20723849
52.875 22.257513 0.20841401 22.253418 0.20823257 22.245147 0.2080513 22.23285 0.20787017 22.216797 0.20768918 22.182766 0.20732822
53.125 22.248512 0.20849995 22.24472 0.20831881 22.236895 0.20813782 22.225178 0.20795696 22.209824 0.20777625 22.176818 0.20741576
53.375 22.239504 0.20858368 22.235998 0.20840283 22.228602 0.20822212 22.21745 0.20804154 22.202781 0.2078611 22.17083 0.20750106
53.625 22.23049 0.20866517 22.227254 0.20848459 22.220271 0.20830416 22.209668 0.20812386 22.195671 0.20794367 22.164801 0.20758408
53.875 22.221471 0.20874436 22.218488 0.20856407 22.211903 0.20838391 22.201835 0.20820387 22.188496 0.20802394 22.158732 0.20766479
54.125 22.212447 0.20882123 22.209703 0.20864121 22.2035 0.20846132 22.193953 0.20828154 22.18126 0.20810186 22.152621 0.20774313
54.375 22.203419 0.20889572 22.200899 0.20871597 22.195065 0.20853634 22.186025 0.20835681 22.173965 0.20817737 22.14647 0.20781906
54.625 22.194387 0.20896779 22.192077 0.20878831 22.186599 0.20860894 22.178053 0.20842965 22.166613 0.20825045 22.140279 0.20789254
54.875 22.185353 0.2090374 22.18324 0.20885817 22.178104 0.20867905 22.170039 0.20850001 22.159209 0.20832103 22.134049 0.2079635
55.125 22.176317 0.20910449 22.174387 0.20892552 22.169581 0.20874664 22.161986 0.20856783 22.151755 0.20838907 22.12778 0.20803191
55.375 22.167278 0.20916901 22.165521 0.20899029 22.161032 0.20881165 22.153895 0.20863307 22.144252 0.20845452 22.121473 0.2080977
55.625 22.158238 0.20923092 22.156641 0.20905244 22.152459 0.20887403 22.14577 0.20869566 22.136705 0.20851731 22.11513 0.20816082
55.875 22.149197 0.20929015 22.14775 0.2091119 22.143864 0.20893371 22.137611 0.20875555 22.129116 0.20857739 22.108752 0.20822121
56.125 22.140156 0.20934664 22.138847 0.20916863 22.135247 0.20899065 22.129422 0.20881268 22.121487 0.2086347 22.10234 0.2082788
56.375 22.131113 0.20940035 22.129935 0.20922255 22.126611 0.20904478 22.121204 0.208867 22.11382 0.20868919 22.095896 0.20833355
56.625 22.122071 0.20945119 22.121012 0.20927361 22.117957 0.20909603 22.11296 0.20891843 22.10612 0.20874077 22.089421 0.20838536
56.875 22.113028 0.20949912 22.112082 0.20932174 22.109285 0.20914435 22.10469 0.20896691 22.098387 0.20878939 22.082917 0.20843419
57.125 22.103985 0.20954406 22.103143 0.20936687 22.100599 0.20918965 22.096398 0.20901236 22.090624 0.20883497 22.076387 0.20847995
57.375 22.094942 0.20958594 22.094197 0.20940894 22.091898 0.20923187 22.088085 0.20905472 22.082834 0.20887745 22.069831 0.20852256
57.625 22.085899 0.20962469 22.085245 0.20944786 22.083184 0.20927094 22.079753 0.20909391 22.07502 0.20891674 22.063252 0.20856196
57.875 22.076857 0.20966024 22.076287 0.20948356 22.074459 0.20930678 22.071404 0.20912985 22.067183 0.20895276 22.056652 0.20859806
58.125 22.067814 0.20969249 22.067324 0.20951596 22.065723 0.2093393 22.06304 0.20916246 22.059326 0.20898543 22.050032 0.20863076
58.375 22.058772 0.20972138 22.058357 0.20954497 22.056978 0.20936841 22.054662 0.20919165 22.051451 0.20901466 22.043396 0.20865999
58.625 22.04973 0.2097468 22.049386 0.20957052 22.048226 0.20939404 22.046272 0.20921734 22.043562 0.20904037 22.036745 0.20868565
58.875 22.040688 0.20976869 22.040411 0.2095925 22.039467 0.20941609 22.037873 0.20923942 22.035659 0.20906245 22.030082 0.20870764
59.125 22.031646 0.20978693 22.031434 0.20961083 22.030702 0.20943447 22.029465 0.20925781 22.027746 0.20908081 22.023408 0.20872586
59.375 22.022605 0.20980144 22.022454 0.2096254 22.021933 0.20944906 22.021051 0.20927239 22.019825 0.20909535 22.016726 0.2087402
59.625 22.013563 0.2098121 22.013473 0.20963611 22.013161 0.20945978 22.012633 0.20928307 22.011897 0.20910595 22.010038 0.20875056
59.875 22.004521 0.20981883 22.004491 0.20964285 22.004387 0.2094665 22.004211 0.20928973 22.003966 0.20911251 22.003346 0.20875683
