z T3p0 th3p0 T3p5 th3p5 T4p0 th4p0 T4p5 th4p5 T5p0 th5p0 T6p0 th6p0
9.875 18.028327 0.16159152 19.223224 0.16149866 43.206875 0.16657791 69.30106 0.18423809 76.873402 0.19276596 84.629802 0.20030475
10.125 18.145101 0.1622474 19.156525 0.16214079 41.370225 0.16648721 67.70898 0.18342168 75.702569 0.19221165 83.779172 0.2002297
10.375 18.260099 0.16289005 19.10796 0.16277129 39.625524 0.16647884 66.10534 0.18262192 74.52181 0.19163383 82.920077 0.20010558
10.625 18.37332 0.16352003 19.075544 0.16339051 37.976235 0.16654452 64.493157 0.18184519 73.331858 0.19103812 82.052861 0.19993615
10.875 18.484765 0.16413787 19.057472 0.16399883 36.424472 0.16667566 62.875692 0.18109751 72.133492 0.19042981 81.177867 0.19972505
11.125 18.594437 0.16474407 19.052109 0.16459658 34.971073 0.16686376 61.256434 0.18038449 70.927534 0.18981384 80.295444 0.19947581
11.375 18.702338 0.1653391 19.057976 0.1651841 33.615702 0.16710071 59.639069 0.17971125 69.714861 0.18919488 79.405944 0.19919186
11.625 18.808472 0.16592339 19.073732 0.16576171 32.356984 0.16737899 58.027448 0.17908234 68.496405 0.1885773 78.509726 0.19887656
11.875 18.912843 0.16649735 19.098168 0.16632972 31.192656 0.16769178 56.425543 0.17850168 67.273159 0.18796518 77.607152 0.19853316
12.125 19.015455 0.16706137 19.130192 0.16688843 30.119718 0.168033 54.837403 0.17797246 66.046176 0.18736235 76.698593 0.19816487
12.375 19.116314 0.1676158 19.16882 0.16743813 29.134589 0.16839735 53.267096 0.17749712 64.816578 0.18677237 75.784427 0.19777478
12.625 19.215426 0.16816099 19.213168 0.16797909 28.233246 0.16878026 51.718652 0.17707731 63.58555 0.18619854 74.865041 0.19736596
12.875 19.312798 0.16869727 19.262438 0.16851159 27.411354 0.16917781 50.19601 0.1767139 62.35434 0.18564391 73.940832 0.19694136
13.125 19.408437 0.16922492 19.315917 0.16903586 26.66438 0.16958669 48.702953 0.17640695 61.124263 0.18511127 73.01221 0.19650385
13.375 19.50235 0.16974425 19.372964 0.16955216 25.987691 0.17000413 47.243056 0.17615582 59.896692 0.18460312 72.079594 0.19605624
13.625 19.594547 0.17025552 19.433006 0.17006072 25.376634 0.17042781 45.819637 0.17595918 58.673053 0.18412173 71.143419 0.19560123
13.875 19.685036 0.17075899 19.49553 0.17056176 24.826606 0.17085581 44.435713 0.17581509 57.454827 0.18366906 70.204132 0.19514141
