x y lead slope theta0 tamb elev
552.735 4314.195 79.37321 5.496747 0.2321947 31.13963 221.3407
559.215 4314.195 78.21106 3.06235 0.09142449 31.29935 210.738
565.695 4314.195 79.90912 1.329664 0.1502875 31.81588 128.1796
572.175 4314.195 78.77936 0.2360342 0.1311758 31.89673 113.1535
578.115 4314.195 78.48335 9.801281 0.1259348 31.10327 230.5325
584.595 4314.195 76.40815 23.11693 0.08 28.48624 550.1569
591.075 4314.195 78.20831 4.907073 0.09313128 27.50675 785.1915
597.555 4314.195 74.96261 10.65869 0.08 27.81236 742.5925
604.035 4314.195 75.28964 18.61692 0.08 27.18583 774.3931
481.995 4313.655 78.05377 4.228909 0.09741764 32.56243 7.855514
488.475 4313.655 78.99159 17.67332 0.09509711 28.33662 592.6806
494.955 4313.655 79.72971 1.822025 0.1732036 32.27747 51.14124
501.435 4313.655 79.38235 0.3177678 0.2765014 32.59731 5.609612
507.375 4313.655 74.83667 7.165217 0.08 31.34897 198.1849
513.855 4313.655 78.28776 10.58192 0.09162819 31.19027 216.9463
520.335 4313.655 75.76549 20.74329 0.08 29.92892 321.2583
526.815 4313.655 74.60012 5.155376 0.08 28.47672 624.6594
533.295 4313.655 74.98212 12.82641 0.08 27.65352 740.7652
539.775 4313.655 80.10889 19.5691 0.2233295 28.64885 533.1802
546.255 4313.655 76.24938 22.11035 0.08 29.65731 387.943
552.735 4313.655 76.88522 2.522105 0.1039224 30.88262 262.1562
559.215 4313.655 79.6877 1.500433 0.1635076 31.35297 198.5265
565.155 4313.655 79.41254 0.895954 0.2194071 31.85247 120.9415
571.635 4313.655 78.61339 0.1977884 0.1311758 31.92897 108.3646
578.115 4313.655 74.03119 3.786892 0.08 31.0912 244.0951
584.595 4313.655 75.38351 17.40639 0.08 29.07204 537.0976
591.075 4313.655 75.06617 10.65069 0.08 27.88351 740.1086
597.555 4313.655 78.01949 8.651064 0.1144864 27.93444 716.2672
604.035 4313.655 75.0409 12.76205 0.08 27.89336 737.1073
486.315 4313.115 75.4548 17.50424 0.08 29.16952 524.3481
492.255 4313.115 80.02919 10.54375 0.1634603 31.72589 149.3607
498.735 4313.115 78.38816 1.232612 0.1177869 32.37669 36.55905
505.215 4313.115 79.6187 1.964543 0.1874478 32.19229 69.1975
511.695 4313.115 76.57257 9.912228 0.1005038 30.87477 238.8156
518.175 4313.115 76.04541 5.393674 0.09405398 29.66222 459.4197
524.655 4313.115 79.59138 1.996071 0.1518036 29.60538 465.0361
531.135 4313.115 79.01199 14.93049 0.1194433 28.83254 587.9832
